Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Are you male or female?,How old are you?,Are you?,,How would you describe your role?,,What would make you feel happier at work?,,,,,,"In the last month, how often have you felt...",,,,,,"In the last month, has anything happened to make you feel more positive about your working life? ",," In the last month, has anything happened to make you feel less positive about your working life?",,How do you think Brexit will affect your current employment?,
,,,,,,,,,Response,Response,Response,Other,Response,Other (please specify),Instant benefits like cinema and retail discounts,"Longer term benefits like life insurance, health insurance and hospital plans",More money,More recognition from management and colleagues,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",Other (please specify),Keen to get to work when you get up in the morning,Happy at work,Enthusiastic about your job,Proud of the work you do,That your job is important and worthwhile,That you are working as efficiently as possible,Response,"If yes, please give details in the box below.",Response,"If yes, please give details in the box below",Response,Other (please specify)
6713860729,169394296,02/23/2018 09:39:48 AM,02/23/2018 10:13:27 AM,151.231.91.40,,,,,Male,30 - 49,Employed,,Frontline Employee / Team Member,,,,,,,"A real opportunity to better myself, to learn new skills and climb the career ladder. I have been overlooked for promotion several times dispite my work ethic and 15 years of service. It makes me feel victimised. Perhaps the people chosen were deserving and had something i didn't, i will never know.",Sometimes,Sometimes,Quite often,Quite often,Most of the time,Most of the time,Yes,,Yes,"Several new starters have been given supervisory positions (when they joined as entry level). This has happened several times over the years, fuelling the problem in question five.",I don't know,
6713854731,169394296,02/23/2018 09:35:35 AM,02/23/2018 09:37:16 AM,188.220.162.239,,,,,Male,18 - 29,Employed,,Frontline Employee / Team Member,,Instant benefits like cinema and retail discounts,,More money,More recognition from management and colleagues,,,Almost Never,Rarely / Not very often,Rarely / Not very often,Most of the time,Almost Never,Quite often,No,,Yes,Management treating you like crap. ,Not at all,
6713838759,169394296,02/23/2018 09:21:49 AM,02/23/2018 09:23:39 AM,86.2.52.11,,,,,Male,18 - 29,Other,Student ,Other (please specify),Student ,,,,More recognition from management and colleagues,,,Rarely / Not very often,Almost Never,Almost Never,Rarely / Not very often,Rarely / Not very often,Sometimes,No,,No,,In a negative way,
6713776394,169394296,02/23/2018 08:24:55 AM,02/23/2018 08:27:06 AM,81.97.59.13,,,,,Male,30 - 49,Employed,,Team Leader / Manager,,Instant benefits like cinema and retail discounts,,More money,More recognition from management and colleagues,,,Rarely / Not very often,Sometimes,Sometimes,Quite often,Almost Never,Most of the time,No,,No,,I don't know,
6713370960,169394296,02/23/2018 02:25:50 AM,02/23/2018 02:27:49 AM,81.107.179.185,,,,,Male,18 - 29,Employed,,Frontline Employee / Team Member,,Instant benefits like cinema and retail discounts,"Longer term benefits like life insurance, health insurance and hospital plans",More money,More recognition from management and colleagues,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Rarely / Not very often,Sometimes,Almost Never,Quite often,Quite often,Quite often,No,,No,,I don't know,
6713124615,169394296,02/22/2018 11:56:27 PM,02/22/2018 11:59:06 PM,82.33.89.220,,,,,Male,18 - 29,Contracting,,Frontline Employee / Team Member,,,"Longer term benefits like life insurance, health insurance and hospital plans",,,,,Quite often,Sometimes,Quite often,Most of the time,Most of the time,Sometimes,Yes,,Yes,Closing in on my work permit deadline,I don't know,
6713117672,169394296,02/22/2018 11:52:48 PM,02/22/2018 11:54:29 PM,82.132.221.123,,,,,Male,18 - 29,Employed,,Frontline Employee / Team Member,,,"Longer term benefits like life insurance, health insurance and hospital plans",More money,More recognition from management and colleagues,,,Almost Never,Almost Never,Rarely / Not very often,Rarely / Not very often,Almost Never,Almost Never,No,,No,,Not at all,
6712944501,169394296,02/22/2018 10:29:41 PM,02/22/2018 10:30:01 PM,82.0.29.121,,,,,Male,Under 18,Employed,,,,,,,,,,,,,,,,,,,,,
6712815649,169394296,02/22/2018 09:38:09 PM,02/22/2018 09:40:18 PM,2.218.229.246,,,,,Male,18 - 29,Employed,,Team Leader / Manager,,,,More money,More recognition from management and colleagues,,Less business cuts,Almost Never,Rarely / Not very often,Sometimes,Quite often,Rarely / Not very often,Sometimes,No,,Yes,Staff shortages,Not at all,
6712742157,169394296,02/22/2018 09:10:14 PM,02/22/2018 09:11:24 PM,2.121.10.80,,,,,Male,30 - 49,Employed,,Frontline Employee / Team Member,,,"Longer term benefits like life insurance, health insurance and hospital plans",More money,More recognition from management and colleagues,,,Most of the time,Quite often,Sometimes,Sometimes,Sometimes,Quite often,No,,No,,In a negative way,
6712651737,169394296,02/22/2018 08:36:07 PM,02/22/2018 08:36:47 PM,5.151.172.216,,,,,Male,18 - 29,Unemployed / Retired,,,,,,,,,,,,,,,,,,,,,
6712334111,169394296,02/22/2018 06:39:37 PM,02/22/2018 06:40:58 PM,90.222.76.64,,,,,Male,30 - 49,Employed,,Frontline Employee / Team Member,,,,More money,More recognition from management and colleagues,,,Rarely / Not very often,Rarely / Not very often,Rarely / Not very often,Rarely / Not very often,Rarely / Not very often,Rarely / Not very often,No,,Yes,,I don't know,
6712110442,169394296,02/22/2018 05:21:10 PM,02/22/2018 05:22:10 PM,81.136.179.171,,,,,Male,18 - 29,Employed,,Team Leader / Manager,,,,More money,,,,Sometimes,Sometimes,Sometimes,Quite often,Rarely / Not very often,Sometimes,No,,No,,In a negative way,
6711638986,169394296,02/22/2018 02:14:31 PM,02/22/2018 02:18:08 PM,176.250.184.119,,,,,Male,18 - 29,Employed,,Frontline Employee / Team Member,,,,More money,,,,Sometimes,Quite often,Quite often,Sometimes,Sometimes,Quite often,Yes,Talks of opportunities to progress role wise,No,,Not at all,
